artist,year,track,album,tags,labelid,url,cluster,distance,bpm_essentia
sl0p0k,2020.0,first/last,VAL 013 - first/last,electronic|acid|techno|Berlin,1,https://valence3.bandcamp.com/track/first-last,1,0.1667331591825955,128.98
Kevin McHugh,2020.0,Telempathy 04,Telempathy vol 1,electronic|acid|techno|Berlin,1,https://valence3.bandcamp.com/track/telempathy-04,3,0.1690757257925233,164.84
Kevin McHugh,2020.0,Telempathy 05,Telempathy vol 1,electronic|acid|techno|Berlin,1,https://valence3.bandcamp.com/track/telempathy-05,3,0.1601411104340384,161.6
Kevin McHugh,2020.0,Telempathy 06,Telempathy vol 1,electronic|acid|techno|Berlin,1,https://valence3.bandcamp.com/track/telempathy-06,3,0.2246214088873824,82.03
Kevin McHugh,2020.0,Telempathy 08,Telempathy vol 1,electronic|acid|techno|Berlin,1,https://valence3.bandcamp.com/track/telempathy-08,3,0.1440258653783111,155.26
Rush Plus,2018.0,Quick Release (Ambivalent Remix),VAL011 - Valence 11,electronic|acid|techno|Berlin,1,https://valence3.bandcamp.com/track/quick-release-ambivalent-remix,2,0.0971539495128429,132.97
Ambivalent,2016.0,And,VAL001 - And/Or,electronic|acid|techno|Berlin,1,https://valence3.bandcamp.com/track/and,0,0.1970398584847209,124.99
Ambivalent,2016.0,Chronos (Truncate Remix),VAL003 - Janus EP,electronic|acid|techno|Berlin,1,https://valence3.bandcamp.com/track/chronos-truncate-remix,0,0.1913550496242622,126.97
Ambivalent,2016.0,Chronos,VAL003 - Janus EP,electronic|acid|techno|Berlin,1,https://valence3.bandcamp.com/track/chronos,0,0.2241041265550267,128.01
Ambivalent,2017.0,Gorge,VAL009 - Untitled,electronic|acid|techno|Berlin,1,https://valence3.bandcamp.com/track/gorge,2,0.18802034846387,131.97
Ambivalent,2016.0,Janus,VAL003 - Janus EP,electronic|acid|techno|Berlin,1,https://valence3.bandcamp.com/track/janus,2,0.1784657463020438,128.01
Ambivalent,2017.0,Noncompiant - Gyges (Noncompliant Remix),VAL010 - Doxa EP,electronic|acid|techno|Berlin,1,https://valence3.bandcamp.com/track/gyges-noncompliant-remix,1,0.2292173242634211,131.91
Ambivalent,2016.0,Or,VAL001 - And/Or,electronic|acid|techno|Berlin,1,https://valence3.bandcamp.com/track/or,0,0.187394690232078,124.99
Ambivalent,2017.0,Untitled,VAL009 - Untitled,electronic|acid|techno|Berlin,1,https://valence3.bandcamp.com/track/untitled-3,1,0.2455876769589862,131.87
GoldFFinch,2016.0,Interception,VAL002,electronic|acid|techno|Berlin,1,https://valence3.bandcamp.com/track/interception,0,0.1713070367142231,125.01
GoldFFinch,2016.0,Modification,VAL004 - Modification EP,electronic|acid|techno|Berlin,1,https://valence3.bandcamp.com/track/modification,0,0.2217409988540708,123.97
Noncompliant,2017.0,"More Howl, More Keening",VAL008 - More Than Surviving,electronic|acid|techno|Berlin,1,https://valence3.bandcamp.com/track/more-howl-more-keening,0,0.1542530425116905,126.97
Noncompliant,2017.0,More Than Surviving (Ambivalent Remix),VAL008 - More Than Surviving,electronic|acid|techno|Berlin,1,https://valence3.bandcamp.com/track/more-than-surviving-ambivalent-remix,2,0.2136770948436702,130.02
